,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
170,2011.01.20,2011,1,17.0,Dusk,unknown,Swimming,New South Wales,Cudgen Creek ,F,7,N,Shark involvement not confirmed,
171,2011.01.03,2011,1,12.0,Midday,Boat,Fishing,Western Australia,Busselton,unknown,unknown,N,White shark,white
172,2010.11.27,2010,11,,,unknown,Swimming,Western Australia,Native Dog Beach,M,unknown,Y,Shark involvement not confirmed,
173,2010.11.12.R,2010,11,21.0,Night,Boat,Fishing,Western Australia,Between Carnac and Garden Islands,M,unknown,N,White shark,white
174,2010.10.30,2010,10,12.0,Midday,Unprovoked,Snorkeling,Western Australia,Off Garden Island,F,20,N,White shark,white
175,2010.10.28.R,2010,10,,,Unprovoked,Spearfishing,Western Australia,Cheynes Beach,M,unknown,N,unknown,
176,2010.10.23.a,2010,10,,,Unprovoked,Kite Surfing,Western Australia,Wedge Island,M,14,N,unknown,
177,2010.10.09,2010,10,13.0,Afternoon,Unprovoked,Surfing,New South Wales,Mullaway Headland,M,22,N,"Bull shark, 1.4m ",bull
178,2010.09.13,2010,9,17.0,Dusk,Unprovoked,Surfing,New South Wales,Fraser's Reef,M,15,N,2m shark,
179,2010.08.17,2010,8,8.0,Morning,Unprovoked,Surfing,Western Australia,Cowaramup Bay,M,31,Y,White shark,white
180,2010.08.10.b,2010,8,19.0,Evening,Provoked,Fishing,Queensland,"Three Mile Creek, Townsville",F,unknown,N,unknown,
181,2010.08.08,2010,8,8.0,Morning,Unprovoked,Surfing,New South Wales,Crescent Head,M,47,N,unknown,
182,2010.06.06,2010,6,12.0,Midday,Unprovoked,Surfing,Western Australia,"Conspicuous Beach, near Walpole",M,40,N,unknown,
183,2010.05.18.a,2010,5,16.0,Late afternoon,Unprovoked,Surfing,New South Wales,Point Plomer,M,unknown,N,unknown,
184,2010.02.13,2010,2,13.0,Afternoon,Unprovoked,Snorkeling,Queensland,"Dent Island, Whitsundays",F,60,N,2 m shark,
185,2010.02.11,2010,2,8.0,Morning,Unprovoked,Surfing,New South Wales,"Mona Vale Beach, Sydney",M,46,N,"Wobbegong shark, 1.6m",wobbegong
186,2010.02.06.b,2010,2,15.0,Late afternoon,Unprovoked,Body boarding,New South Wales,Turners' Beach,M,18,N,"White shark, 2.5m",white
187,2010.01.27,2010,1,16.0,Late afternoon,Unprovoked,Surfing,Queensland,Archie's Beach,M,unknown,N,unknown,
188,2010.01.22.a,2010,1,7.0,Early morning,Unprovoked,Surfing,Victoria,Geelong,M,unknown,N,unknown,
189,2010.01.09.d,2010,1,,,Unprovoked,Snorkeling,Torres Strait,Thursday Island,F,9,N,"Whitetip reef shark, 1m",reef
190,2009.12.26,2009,12,11.0,Midday,Provoked,Swimming,New South Wales,Avoca Beach,M,55,N,unknown,
