,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
316,2003.01.02,2003,1,13.0,Afternoon,Unprovoked,Surfing,Western Australia,Left break at the ï¿½Hot Spotï¿½ at Sheringa Beach,F,unknown,N,"Bronze whaler shark, 2.5 m [8.25'] ",whaler
317,2002.12.29,2002,12,,,Unprovoked,Snorkeling,Queensland,Great Barrier Reef  (near Upolu Bay),F,18,N,Reported to involve a hammerhead shark,hammerhead
318,2002.12.21,2002,12,,,Unprovoked,Scuba diving,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,M,26,N,"Wobbegong shark, 1m",wobbegong
319,2002.12.20,2002,12,,,unknown,Swimming,Queensland,Golden Beach,M,11,N,"Shark involvement not confirmed, injury may be due to a stingray",
320,2002.12.16,2002,12,2.0,Midnight,Unprovoked,Swimming,Queensland,Miami Lake,M,23,Y,Bull shark,bull
321,2002.06.20.b,2002,6,10.0,Morning,Unprovoked,Surfing,Queensland,Sunshine Beach,M,30,N,unknown,
322,2002.05.07,2002,5,,,Provoked,Fishing from prawn trawler,Northern Territory,Darwin,M,20,N,unknown,
323,2002.04.30,2002,4,12.0,Midday,Unprovoked,Scallop diving (using surface-supplied air & a POD) ,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",M,23,Y,"White shark, 6m [20']",white
324,2002.04.21,2002,4,,,unknown,Fishing (Drowned 2-Apr-2002),New South Wales,26 nautical miles out to sea off Lake Macquarie,M,52,Y,unknown,
325,2002.04.12,2002,4,18.0,Nightfall,Unprovoked,Swimming,New South Wales,"Bar Beach, Newcastle",M,45,N,unknown,
326,2002.02.16,2002,2,9.0,Morning,Unprovoked,Surfing,Queensland,Sunshine Beach,M,33,N,"1.5 m [5'] ""whaler shark""",
327,2002.02.07,2002,2,19.0,Evening,Unprovoked,Kayaking,New South Wales,Paramatta River (near Sydney),M,35,N,C. leucas tooth fragment recovered from kayak,
328,2002.01.30.b,2002,1,20.0,Night,Unprovoked,Surfing,New South Wales,Just north of Fingal Spit,M,20,N,"Tiger shark, 3 m [10']",tiger
329,2002.01.30.a,2002,1,,,Unprovoked,Swimming,Western Australia,Collie River ,M,32,N,unknown,
330,2001.12.21,2001,12,8.0,Morning,unknown,Surfing,Western Australia,"Honeycombs, 250 km south of Perth",M,36,N,unknown,
331,2001.11.23,2001,11,,,Unprovoked,Surfing,New South Wales,"Flat Rock Beach, Lennox Head",M,49,N,Bronze whaler shark,whaler
332,2001.11.07,2001,11,,,unknown,Surf-skiing,Western Australia,"Leighton Beach, south of North Cottesloe",M,unknown,N,unknown,
333,2001.10.02,2001,10,13.0,Afternoon,Unprovoked,Snorkeling,Queensland,200 miles offshore,F,20,N,Bronze whaler shark?,whaler
334,2001.09.30.a,2001,9,17.0,Dusk,Boat,unknown,Queensland,"Moreton Bay, NE of Brisbane ",M,31,N,4 m [13'] white shark,white
335,2001.06.09,2001,6,,,unknown,Hiking on the beach,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),M,75,Y,unknown,
336,2001.05.04,2001,5,17.0,Dusk,Unprovoked,Surfing,New South Wales,Noraville,M,35,N,unknown,
337,2001.04.08.a,2001,4,,,Provoked,Snorkeling,New South Wales,Bronte Beach,M,unknown,N,Wobbegong shark,wobbegong
338,2001.04.02.a,2001,4,10.0,Morning,Unprovoked,Surfing,New South Wales,Nambucca River Entrance,M,40,N,Bronze whaler shark,whaler
339,2001.02.26,2001,2,,,Boat,Fishing for whiting,Western Australia,Albany (incident took place 200 metres from swimmers),unknown,unknown,N,"White shark, 5 m [16.5'] ",white
340,2001.02.04,2001,2,16.0,Late afternoon,Unprovoked,Surfing,New South Wales,Broome Head,M,40,N,"Bronze whaler shark, 2.5 m [8.25']  k",whaler
341,2001.01.24.R,2001,1,,,Boat,Kayaking,New South Wales,South West Rocks,M,35,N,5 m shark,
342,2001.01.21 ,2001,1,,,Boat,Fishing,South Australia,Adelaide,unknown,unknown,N,"White shark, 4.3 m [14'] ",white
343,2000.12.24,2000,12,,,Unprovoked,Scuba diving,Queensland,Flinders Cay,M,23,N,unknown,
344,2000.12.11,2000,12,,,Boat,Fishing for whiting,South Australia,"3 km off Port Victoria, Yorke Peninsula",unknown,unknown,N,"White shark, 4.5 m [14'9""] ",white
345,2000.12.03,2000,12,9.0,Morning,Unprovoked,Spearfishing,Queensland,"Sykes Reef, Great Barrier Reef",M,38,N,"Bronze whaler shark, 2.5 m [8.25'] ",whaler
346,2000.11.21,2000,11,,,Unprovoked,Diving (shell maintenance),Queensland,Orpheus Island,M,28,N,"Tiger shark, 4 m ",tiger
347,2000.11.20,2000,11,,,unknown,Shipwrecked,South Australia,Ceduna,M,47,Y,Shark involvement not confirmed,
348,2000.11.06.b,2000,11,6.0,Early morning,Unprovoked,Swimming,Western Australia,"Cottesloe Beach, Perth",M,52,N,"White shark, 4.9 m [16'] ",white
349,2000.11.06.a,2000,11,6.0,Early morning,Unprovoked,Swimming,Western Australia,"Cottesloe Beach, Perth",M,49,Y,"White shark, 5 m [16.5'] ",white
350,2000.10.29,2000,10,22.0,Late night,Boat,Fishing ,Queensland,Peel Island,unknown,31,N,White shark,white
351,2000.09.25,2000,9,13.0,Afternoon,Unprovoked,Surfing,South Australia,"Black Point, Eyre Peninsula",M,17,Y,White shark,white
352,2000.09.24,2000,9,7.0,Early morning,Unprovoked,Surfing,South Australia,Cactus Beach near Penong,M,25,Y,"White shark, 4 m to 5 m [13' to 16.5'] ",white
353,2000.09.18,2000,9,,,Provoked,Fell onto dead shark,New South Wales,Wollongong,M,12,N,100-kg [221-lb] dead blue shark,blue
354,2000.05.09,2000,5,,,unknown,unknown,Victoria,"Koonya Beach, Melbourne",unknown,unknown,Y,unknown,
355,2000.03.30,2000,3,14.0,Afternoon,Unprovoked,Swimming,Queensland,"Main Beach, Gold Coast",M,26,N,2.5 m shark,
356,2000.03.14,2000,3,19.0,Evening,Unprovoked,Surfing,New South Wales,"McMasters Beach, Central Coast",M,unknown,N,"Tiger shark, 4 m [13'] ?",tiger
357,2000.03.10,2000,3,17.0,Dusk,Boat,Rowing,New South Wales,Parramatta River,unknown,unknown,N,2 m to 2.5 m [6.75'  to 8.25'] shark,
358,2000.03.09,2000,3,,,Boat,Rowing,New South Wales,Parramatta River,unknown,unknown,N,unknown,
359,2000.03.02,2000,3,,,Unprovoked,Swimming,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",M,unknown,N,unknown,
360,2000.02.01,2000,2,,,Unprovoked,Surfing,South Australia,"Point Sinclair, Cactus Beach near Penong",M,26,N,3 m [10'] shark,
361,1999.05.29,1999,5,14.0,Afternoon,Unprovoked,Windsurfing,South Australia,"Hardwicke Bay, Yorke Peninsula",M,22,Y,Thought to involve a white shark,white
362,1999.02.23,1999,2,19.0,Evening,Unprovoked,Surfing,New South Wales,Scotts Head,M,35,N,Bronze whaler or tiger shark,tiger
363,1999.01.03.R,1999,1,,,unknown,Fishing,Northern Territory,Gulf of Carpenteria,F,37,N,Shark involvement not confirmed,
364,1998.12.22,1998,12,15.0,Late afternoon,Unprovoked,Standing,South Australia,Middleton Beach,F,21,N,unknown,
365,1998.12.15,1998,12,14.0,Afternoon,Unprovoked,Surfing,South Australia,Middleton Beach,F,21,N,unknown,
366,1998.06.28.a,1998,6,14.0,Afternoon,Unprovoked,Free diving for abalone,South Australia,South Neptune Island,M,26,Y,Thought to involve a 5.5 m white shark named Kong,white
367,1998.01.28.R ,1998,1,20.0,Night,unknown,Spearfishing,New South Wales,Whale Beach,M,31,Y,Shark involvement not confirmed,
368,1998.01.17,1998,1,14.0,Afternoon,Unprovoked,Surfing,South Australia,Middleton Beach,M,unknown,N,unknown,
369,1997.11.09,1997,11,8.0,Morning,Unprovoked,Scuba diving (submerged riding a scooter),Western Australia,Albany,M,42,N,White shark,white
370,1997.11.05,1997,11,,,unknown,Unknown,New South Wales,Botany Bay?,M,21,Y,Shark involvement in his death uncofirmed,
371,1997.10.28.b,1997,10,,,Unprovoked,Surf-skiing,Western Australia,"Cottesloe Beach, Perth",M,51,N,5.5 m [18'] white shark,white
372,1997.07.27,1997,7,14.0,Afternoon,Unprovoked,Surfing,Queensland,"Pincushion, north of Maroochydore Beach",M,19,N,unknown,
373,1997.02.28.b,1997,2,,,Unprovoked,Swimming,Queensland,"Carrara, Nerang River",F,21,N,a small shark,small
374,1997.02.28.a,1997,2,12.0,Midday,Unprovoked,Scuba diving,Queensland,Whitsunday Passage,M,30,N,"Tiger shark, 2m to 3m ",tiger
375,1997.02.03,1997,2,,,Boat,Rowing ,New South Wales,"Iron Cove, Sydney",F,49,N,unknown,
376,1997.01.25,1997,1,11.0,Midday,Unprovoked,Snorkeling,Queensland,"Whitehaven Beach, Whitsundays Island",M,27,N,1.8 m to 2.1 m [6' to 7'] shark,
377,1997.01.20,1997,1,18.0,Nightfall,Unprovoked,Windsurfing,Western Australia,Geraldton,M,41,Y,"Tiger shark, 4.5 m [14'9""]",tiger
378,1997.01.01,1997,1,,,Boat,Watching seals,Victoria,"Seal Rocks, Phillip Island",unknown,unknown,N,White shark,white
379,1996.12.29,1996,12,18.0,Nightfall,Unprovoked,Surfing,Queensland,Coolum Beach,M,18,unknown,unknown,
380,1996.06.06,1996,6,17.0,Dusk,Unprovoked,Surfing,Victoria,"Suicide Point, Point Leo",M,unknown,N,4 m white shark,white
381,1996.05.24,1996,5,,,unknown,Tech diving ,New South Wales,"Wreck of paddle steamer, Koputai, 6 km off Bondi Beach",M,45,Y,White shark,white
382,1996.04.25.b,1996,4,,,Unprovoked,Swimming,New South Wales,Mona Vale,M,11,N,Wobbegong shark,wobbegong
383,1996.04.25.a,1996,4,,,Unprovoked,Swimming,New South Wales,Mona Vale,F,16,N,Wobbegong shark,wobbegong
384,1996.03.05,1996,3,7.0,Early morning,Unprovoked,Swimming breast stoke,Queensland,Heron Island,F,47,N,Tiger shark,tiger
385,1996.03.00,1996,3,,,Unprovoked,Fishing in knee-deep water,New South Wales,Lord Howe Island,M,7,N,1.5 m [5'] shark,
386,1996.02.26,1996,2,21.0,Night,Unprovoked,Dived naked into the water on a bet,New South Wales,"Charles Street Wharf, Parramatta River",M,24,N,Bronze whaler shark,whaler
387,1996.02.04,1996,2,14.0,Afternoon,Unprovoked,Swimming,New South Wales,"Ned's Beach, Lord Howe Island",M,7,N,"""reef shark""",
388,1996.01.22,1996,1,,,Unprovoked,Swimming,Queensland,"Brown's Inlet, Broadwater",F,13,N,Bronze whaler shark,whaler
389,1996.01.14.b,1996,1,,,Unprovoked,unknown,Western Australia,"Mutton Bird Island, Albany",unknown,unknown,unknown,unknown,
390,1996.01.12,1996,1,10.0,Morning,Boat,Chumming for sharks,New South Wales,Eight-mile reef off Port Kembla,unknown,unknown,N,"Mako shark, 4.3 m [14']",mako
391,1995.11.17,1995,11,,,Unprovoked,unknown,Queensland,Great Keppel Island,M,unknown,N,unknown,
392,1995.10.11,1995,10,14.0,Afternoon,Unprovoked,Playing / standing,Queensland,"Pialba, Hervey Bay",F,15,N,4 m shark,
393,1995.09.11,1995,9,15.0,Late afternoon,Unprovoked,Abalone diving using Hookah (near calving whales),Western Australia,"Honeymoon Island, near Hopetown",M,29,Y,White shark,white
394,1995.05.18,1995,5,,,Unprovoked,unknown,Western Australia,"Bernier Island, Shark Bay",unknown,unknown,unknown,unknown,
395,1995.04.09.b,1995,4,,,Unprovoked,Diving,New South Wales,"Honeysuckle Point, Eden",M,unknown,N,Wobbegong shark,wobbegong
396,1995.03.21,1995,3,,,Unprovoked,Surf skiing,New South Wales,"Clark Island, Sydney Harbour",F,unknown,N,unknown,
397,1995.03.11,1995,3,7.0,Early morning,Unprovoked,Surfing,South Australia,Cactus Beach,M,35,N,"Bronze whaler shark, 2 m ",whaler
398,1995.00.00.d,1995,6,,,Provoked,Snorkeling,Queensland,Gladstone Reef,M,unknown,N,Leopard shark,leopard
399,1994.12.09.b,1994,12,,,unknown,Murder victim,Queensland,"Hinchinbrook Channel, Queensland",M,44,N,unknown,
400,1994.01.12.R,1994,1,7.0,Early morning,Boat,Fishing,Western Australia,Albany,unknown,unknown,N,White shark,white
401,1994.01.09,1994,1,,,Unprovoked,"Swimming, after falling off towed kneeboard",Queensland,"Katana Downs Reach, Brisbane River",M,23,N,1.5 m shark,
402,1993.11.21,1993,11,15.0,Late afternoon,Unprovoked,Hookah diving,Western Australia, A pearl  farm in Roebuck Bay,M,27,Y,Tiger shark caught 6 days later with diverï¿½s remains in its gut,tiger
403,1993.08.14,1993,8,,,Boat,Fishing,Western Australia,Off Rottnest Island,unknown,unknown,N,6 m [20'] white shark,white
404,1993.06.09,1993,6,9.0,Morning,Unprovoked,Scuba diving,New South Wales,"Julian Rocks, Byron Bay",M,31,Y,Remains recovered from 5.5 m [18'] white shark,white
405,1993.06.05,1993,6,10.0,Morning,Unprovoked,Scuba diving at seal colony,Tasmania,Tenth Island (King Island),F,34,Y,5 m [16.5'] white shark,white
406,1993.04.00,1993,4,,,unknown,Spearfishing,Tasmania,Barren Joey Island,M,32,N,unknown,
407,1993.02.04,1993,2,13.0,Afternoon,Provoked,Fishing,Queensland,Mooloolaba,M,69,N,"Bronze whaler shark, 1.5 m ",whaler
408,1993.01.05,1993,1,9.0,Morning,Unprovoked,Spearfishing,Queensland,"Line Reef, northeast of Hamilton Island, Whitsundays",M,21,N,1.5 m shark,
409,1992.10.15,1992,10,,,Unprovoked,Scuba diving,New South Wales,Avalon Beach,M,unknown,N,Grey nurse shark,nurse
410,1992.10.01,1992,10,14.0,Afternoon,Unprovoked,Surfing,Queensland,"North Point Beach, Moreton Island",M,28,Y,4.2 m white shark,white
411,1992.08.25,1992,8,17.0,Dusk,Unprovoked,Surfing,South Australia,"Lipson Cove, Tumby Bay",M,17,N,4 m white shark,white
412,1992.03.10,1992,3,,,Unprovoked,Surfing,Victoria,Point Lonsdale,M,17,N,"Bronze whaler shark, 3 m",whaler
413,1992.02.09,1992,2,19.0,Evening,unknown,Surfing,Tasmania,"Clifton Beach, southwest of Hobart",M,19,N,unknown,
414,1992.01.29.a,1992,1,20.0,Night,Unprovoked,Boogie boarding,New South Wales,Tweed Heads,M,19,N,"Bronze whaler shark, 2.3 m [7.5'] ",whaler
415,1991.11.00,1991,11,,,Unprovoked,Boogie boarding,Western Australia,"Backbeach, Halls Head",M,14,N,"""small shark""",
416,1991.09.08,1991,9,15.0,Late afternoon,Unprovoked,Scuba diving,South Australia,"Snapper Point, Aldinga Beach, Adelaide",M,19,Y,4 m [13'] white shark,white
417,1991.08.30,1991,8,14.0,Afternoon,Provoked,Finning the shark that bit him,Queensland,"On board the Japanese longline trawler Fukuya No.38, 100 nm northeast of Brisbane",M,36,N,"3 m [10'], 270- kg [595-lb] shark",
418,1991.03.03,1991,3,,,Unprovoked,Scuba diving,New South Wales,Bass Point,M,18,N,"Grey nurse shark, 2 m",nurse
419,1991.01.19,1991,1,8.0,Morning,Unprovoked,Swimming,Queensland,Mermaid Waters,M,35,N,unknown,
420,1991.01.09,1991,1,,,Unprovoked,Surf-skiing,Western Australia,Scarborough,M,unknown,N,4 m shark,
421,1991.01.00,1991,1,,,Unprovoked,Surfing (or sailboarding),Queensland,Pelican Banks near Gladstone,M,22,N,2 m shark,
422,1990.11.28,1990,11,,,Unprovoked,Swimming ,Queensland,Nerang River,M,26,N,1.5 m shark,
423,1990.10.27,1990,10,20.0,Night,Unprovoked,Swimming,Queensland,Mermaid Waters,M,26,N,unknown,
424,1990.10.25,1990,10,10.0,Morning,Unprovoked,Surfing,South Australia,Goolwa Beach,M,unknown,N,unknown,
425,1990.05.10,1990,5,,,Unprovoked,Snorkeling,Queensland,Outer Barrier Reef near Port Douglas,F,30,N,2 m hammerhead,
426,1990.05.10,1990,5,,,Unprovoked,"Snorkeling, possibly holding a fish",Queensland,Outer Barrier Reef near Port Douglas,M,30,N,2 m hammerhead,
427,1990.04.09,1990,4,5.0,Dawn,Unprovoked,Surfing,Queensland,Greenmount Beach,M,31,N,"Tiger shark, 3 m ",tiger
428,1990.04.08,1990,4,,,Unprovoked,Free diving for trochus,Queensland,"Dingo Reef, 80 nm off Townsville",M,37,Y,unknown,
429,1990.04.07,1990,4,,,Unprovoked,Surfing,Queensland,Fingal Beach,M,unknown,N,3 m shark,
430,1990.04.06,1990,4,,,Unprovoked,Surfing,Queensland,Fingal Beach,M,29,N,3 m shark,
431,1989.12.03,1989,12,,,Unprovoked,unknown,Northern Territory,Gove Peninsula near Darwin,M,17,unknown,"Tiger shark, 2m ",tiger
432,1989.12.02,1989,12,,,unknown,Swimming,Queensland,Fraser Island,M,27,Y,unknown,
433,1989.11.22,1989,11,,,Unprovoked,Surfing,Victoria,Kilcunda,M,32,N,White shark,white
434,1989.11.02,1989,11,,,Unprovoked,Swimming in canal,Queensland,Mermaid Waters,M,10,N,"2 m shark, possibly a bronze whaler",
435,1989.10.29.R,1989,10,,,Unprovoked,Swimming,Northern Territory,Edith Falls,F,31,N,unknown,
436,1989.10.22,1989,10,14.0,Afternoon,Unprovoked,Surfing,Tasmania,Shelly Point ,M,17,N,2.7 m [9'] white shark,white
437,1989.10.01,1989,10,,,Unprovoked,Surfing,Victoria,"Surfers Point, Phillip Island",M,unknown,unknown,White shark,white
438,1989.08.29,1989,8,14.0,Afternoon,Provoked,Feeding fish,Queensland,SeaWorld Theme Park,M,30,N,Grey nurse shark,nurse
439,1989.08.13,1989,8,6.0,Early morning,Unprovoked,Surfing,New South Wales,Lennox Head,M,17,N,"Bronze whaler shark, 3 m [10'] ",whaler
440,1989.08.06.R,1989,8,,,Provoked,Fishing for sharks,Queensland,Moreton Bay,M,41,N,3.5 m white shark,white
441,1989.03.09,1989,3,20.0,Night,Unprovoked,Surfing,South Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",M,27,Y,2 m [6.75'] white shark,white
442,1989.03.04,1989,3,,,Boat,Kayaking,Western Australia,Near Broome in Roebuck Bay,M,unknown,N,"Tiger shark, 3.5 m ",tiger
443,1989.01.03,1989,1,17.0,Dusk,Unprovoked,Surfing with dolphins,New South Wales,"Half Tide Beach, Evans Head",M,17,N,"Tiger shark, 4 m [13'] ",tiger
444,1988.11.08,1988,11,6.0,Early morning,Sea Disaster,"The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",Queensland,"Off North Keppel Island, off Yeppoon",M,17,Y,unknown,
445,1988.11.07,1988,11,18.0,Nightfall,Sea Disaster,"The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",Queensland,"Off North Keppel Island, off Yeppoon",M,62,Y,unknown,
446,1988.10.22,1988,10,,,Unprovoked,Surfing,Victoria,Phillip Island,M,38,N,7' shark,
447,1988.10.06,1988,10,14.0,Afternoon,Unprovoked,Surfing,South Australia,Moama Beach,M,15,N,unknown,
448,1988.02.12,1988,2,,,Boat,Drift fishing,Western Australia,18 km west of Bunbury,unknown,unknown,N,"Mako shark, 3 m [10'], 200-kg [441-lb] ",mako
449,1988.01.21,1988,1,,,unknown,Fell overboard  from the Taiwanese fishing trawler Lien Cheng Feu ,Torres Strait,unknown,M,unknown,Y,unknown,
450,1988.00.00.c,1988,6,,,Unprovoked,Surfing,New South Wales,Sydney,M,12,N,Wobbegong shark,wobbegong
451,1987.12.13,1987,12,,,unknown,unknown,New South Wales,Shoalhaven,F,17,Y,"Tiger shark, 4 m, 420-kg, caught 13-Dec-1987",tiger
452,1987.09.18,1987,9,,,Unprovoked,Scuba Diving for scallops,South Australia,"Merino Rocks, Adelaide",M,47,Y,White shark,white
453,1987.05.06,1987,5,,,Provoked,Fishing,New South Wales,unknown,M,34,N,unknown,
454,1987.03.30.b,1987,3,,,Unprovoked,Surfing,Western Australia,Fourth Beach / Twilgth Beach,M,18,N,"Bronze whaler shark, 2 m to 3 m ",whaler
455,1987.01.06,1987,1,7.0,Early morning,Unprovoked,Swimming,Queensland,Lizard Island,M,37,N,unknown,
456,1986.10.01,1986,10,,,Unprovoked,unknown,Western Australia,"Direction Island, Cocos Islands",unknown,unknown,unknown,unknown,
457,1986.08.03,1986,8,,,Unprovoked,Scuba diving,New South Wales,"North Head, Sydney Harbour",F,unknown,N,Wobbegong shark,wobbegong
458,1986.07.26,1986,7,,,Boat,Fishing,Western Australia,3 km west of Rottnest Island,unknown,unknown,N,Tooth fragment of a white shark recovered. Authorities believed shark was 6 m [20']  total length,white
459,1986.05.18,1986,5,,,Unprovoked,Scuba diving,New South Wales,"North Head, Sydney Harbour",M,unknown,N,Wobbegong shark,wobbegong
460,1986.02.01,1986,2,6.0,Early morning,Unprovoked,Surfing,Victoria,Jan Juc Beach,M,29,N,"Bronze whaler shark, 3.5 m ",whaler
461,1985.11.11,1985,11,14.0,Afternoon,Provoked,Fishing,Queensland,Gladstone,M,unknown,N,1m shark,
462,1985.03.03,1985,3,12.0,Midday,Unprovoked,Free diving for scallops,South Australia,"Wisemanï¿½s Beach, Peake Bay, Port Lincoln",F,33,Y,6 m [20'] white shark,white
463,1984.11.30,1984,11,12.0,Midday,Unprovoked,Sailing on catamaran & fell into the water,Queensland,1 km off Black's Beach,M,16,Y,"Tiger shark, 4 m ",tiger
464,1984.03.01,1984,3,,,Unprovoked,unknown,Western Australia,Coral Bay,unknown,unknown,unknown,unknown,
465,1984.02.11,1984,2,,,Unprovoked,Spearfishing,Queensland,Derwent Island,M,27,N,1.5 m white-tipped reef shark,reef
466,1983.12.24,1983,12,,,Unprovoked,Scuba diving for abalone,South Australia,"Dangerous Reef, South Neptune Island",M,48,N,12' white shark,white
467,1983.07.26,1983,7,4.0,Dawn,Sea Disaster,Swimming from the New Venture ,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",F,21,Y,"Tiger shark, 5 m [16.5']",tiger
468,1983.07.25.b,1983,7,21.0,Night,Sea Disaster,Swimming from the New Venture ,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",M,24,Y,"Tiger shark, 5 m [16.5']",tiger
469,1983.07.25.a,1983,7,21.0,Night,Sea Disaster,14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",M,28,N,"Tiger shark, 5 m [16.5']",tiger
470,1982.03.07,1982,3,12.0,Midday,Unprovoked,Surfing,New South Wales,"Tallow Beach, Byron Bay",M,20,Y,unknown,
471,1982.02.28,1982,2,,,Unprovoked,Spearfishing,Tasmania,South Cape Bay,M,32,Y,5.5 m [18''] white shark,white
472,1981.12.13.b,1981,12,,,Unprovoked,unknown,Queensland,Green Island,unknown,unknown,N,unknown,
473,1981.02.16,1981,2,,,Unprovoked,Exercising his dog in the shallows,Western Australia,"Leighton Beach, north of Freemantle",M,unknown,N,1 m hammerhead shark,hammerhead
474,1981.02.07,1981,2,,,Unprovoked,unknown,Western Australia,"Parker's Point, Rottnest Island",unknown,unknown,unknown,unknown,
475,1981.00.00.b,1981,6,7.0,Early morning,Unprovoked,Surf-skiing,New South Wales,Byron Bay,M,27,N,"Tiger shark, 2.5 m ",tiger
476,1980.11.18,1980,11,,,Unprovoked,Swimming,Western Australia,Lancelin,M,unknown,N,unknown,
477,1979.09.14,1979,9,,,Unprovoked,Scuba diving,New South Wales,Byron Bay,M,18,N,"""a small shark""",small
478,1978.12.29,1978,12,,,Unprovoked,unknown,Queensland,Bribie Island,M,unknown,N,unknown,
479,1978.09.02.R,1978,9,,,Unprovoked,Scuba diving for abalone,Tasmania,"Cape Pillar, Storm Bay",M,34,N,15' shark,
480,1978.04.00,1978,4,,,Unprovoked,Scuba diving,Tasmania,Beechford,M,unknown,N,"Sevengill shark, 2.4 m",sevengill
481,1977.08.31,1977,8,16.0,Late afternoon,Unprovoked,Surfing,South Australia,"Cactus Beach, near Ceduna",M,17,N,White shark,white
482,1977.08.23,1977,8,,,Unprovoked,Floating on an inflatable raft,Queensland,"Buddina Beach, south of Noosa",M,25,Y,unknown,
483,1977.05.16,1977,5,,,unknown,unknown,Queensland,Southport,M,unknown,N,unknown,
484,1977.04.26,1977,4,,,Unprovoked,unknown,Queensland,Tallebudgera,M,unknown,N,unknown,
485,1977.03.13.c,1977,3,,,Sea Disaster,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Queensland,Near Moreton Island in Moreton Bay,M,32,N,unknown,
486,1977.03.13.b,1977,3,,,Sea Disaster,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Queensland,Near Moreton Island in Moreton Bay,M,74,Y,unknown,
487,1977.03.13.a,1977,3,,,Sea Disaster,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Queensland,Near Moreton Island in Moreton Bay,M,45,Y,unknown,
488,1977.02.26,1977,2,,,Unprovoked,"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",New South Wales,"Kingscliffe Beach, south of Tweed Heads",M,24,N,4 m [13'] shark,
489,1977.02.04,1977,2,,,unknown,unknown,Victoria,Sorrento Back Beach,M,unknown,Y,unknown,
490,1976.12.29,1976,12,,,Unprovoked,unknown,Queensland,Caloundra,M,unknown,N,unknown,
491,1976.11.26,1976,11,,,unknown,unknown,Queensland,Southport Bar,unknown,unknown,Y,unknown,
492,1976.09.19,1976,9,,,Unprovoked,"Skindiving,",South Australia,"Point Lowly, north of Whyalla",M,27,N,2.7 m  [9'] shark,
493,1976.06.01,1976,6,,,Boat,Sitting in bow of her father's 5 m boat,Queensland,Off Stradbroke Island,F,unknown,N,1.5 m [5'] shark,
494,1976.01.12,1976,1,,,Unprovoked,unknown,Queensland,Harvey Bay,F,unknown,N,unknown,
495,1975.12.29,1975,12,,,Boat,Attempting to drive shark away from the beach,South Australia,Glenelg,unknown,unknown,N,2.4 m [8'] shark,
496,1975.12.02,1975,12,,,Provoked,Filming & feeding captive sharks,New South Wales,"Porpoise Pool, Tweed Heads",M,35,N,"Grey nurse shark, 10' ",nurse
497,1975.11.19.b,1975,11,,,Unprovoked,Standing,New South Wales,"Queenscliff, Sydney",M,20,N,5' shark,
498,1975.11.07,1975,11,,,Unprovoked,unknown,Queensland,Lookout Point,M,unknown,N,unknown,
499,1975.10.12,1975,10,,,Unprovoked,Surfing,New South Wales,"Lennox Head, Ballina",M,20,N,Bronze whaler,
500,1975.07.30.a,1975,7,14.0,Afternoon,Unprovoked,Scuba diving for abalone,Tasmania,"Fluted Cape, Bruny Island",M,37,Y,White shark,white
501,1975.07.26.a,1975,7,,,Unprovoked,Surfing,Queensland,Maroochydore,M,21,N,12' shark,
502,1975.07.05,1975,7,,,Provoked,Spearfishing,Western Australia,"15 km north of Lancelin, north of Perth",M,29,N,2.4 m [8'] whaler shark,whaler
503,1975.03.18,1975,3,,,Unprovoked,unknown,Queensland,Mornington Island,F,unknown,N,unknown,
504,1975.03.13,1975,3,,,Provoked,Diving & force-feeding the shark,Queensland,Southport Aquarium,unknown,18,N,"Bronze whaler shark, 6'",whaler
505,1975.02.10,1975,2,18.0,Nightfall,Unprovoked,Swimming underwater from crayfish cage to a fishing bait,South Australia,(Point Sinclair) Penong,M,12,Y,"White shark, 3 m [10'] ",white
506,1975.02.09,1975,2,,,Unprovoked,Crayfishing,Victoria,Anglesea,M,45,N,"Carpet shark, 10' ",carpet
507,1975.02.07,1975,2,,,Unprovoked,unknown,Queensland,Currumbin Rock,M,unknown,N,unknown,
508,1975.01.19,1975,1,,,Unprovoked,Surfing,South Australia,Coffin Bay,M,17,Y,unknown,
509,1974.12.10,1974,12,,,Unprovoked,unknown,Western Australia,Geographe Bay,unknown,32,N,unknown,
